Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
3429 4th Av S,Aid Response,04/15/2014,47.5734,-122.32906,"(47.5734, -122.32906)",F140037662
4545 42nd Av Sw,Aid Response,04/15/2014,47.562472,-122.385455,"(47.562472, -122.385455)",F140037661
2720 S Elmwood Pl,Medic Response- 7 per Rule,04/15/2014,47.592622,-122.297133,"(47.592622, -122.297133)",F140037660
5025 25th Av Ne,Aid Response,04/15/2014,47.665567,-122.300655,"(47.665567, -122.300655)",F140037658
10055 41st Av Ne,Medic Response,04/15/2014,47.701877,-122.284301,"(47.701877, -122.284301)",F140037656
940 N 98th St,Aid Response,04/15/2014,47.700531,-122.34679,"(47.700531, -122.34679)",F140037655
Sb I5 At 45 / Sb I5 Fr 45,Aid Response,04/15/2014,47.65722,-122.322633,"(47.65722, -122.322633)",F140037654
7100 55th Av S,Aid Response,04/15/2014,47.538889,-122.264586,"(47.538889, -122.264586)",F140037653
323 25th Av S,Aid Response,04/15/2014,47.600254,-122.299883,"(47.600254, -122.299883)",F140037652
2700 Airport Way S,Auto Fire Alarm,04/15/2014,47.579503,-122.321398,"(47.579503, -122.321398)",F140037646
3062 S Oregon St,Aid Response,04/15/2014,47.563026,-122.293655,"(47.563026, -122.293655)",F140037645
1315 Ne 47th St,Auto Fire Alarm,04/15/2014,47.663099,-122.314064,"(47.663099, -122.314064)",F140037643
2028 3rd Av,Aid Response,04/15/2014,47.61261,-122.34125,"(47.61261, -122.34125)",F140037642
1959 Ne Pacific St,Auto Fire Alarm,04/15/2014,47.650742,-122.308009,"(47.650742, -122.308009)",F140037641
2105 5th Av,Auto Fire Alarm,04/15/2014,47.614527,-122.340527,"(47.614527, -122.340527)",F140037637
2829 Franklin Av E,Aid Response,04/15/2014,47.645679,-122.324445,"(47.645679, -122.324445)",F140037636
6420 California Av Sw,Investigate In Service,04/15/2014,47.545436,-122.387209,"(47.545436, -122.387209)",F140037634
1423 1st Av,Aid Response,04/15/2014,47.608051,-122.339309,"(47.608051, -122.339309)",F140037631
4516 Ne 107th St,Aid Response,04/15/2014,47.70707,-122.27908,"(47.70707, -122.27908)",F140037630
2201 E Madison St,Aid Response,04/15/2014,47.618428,-122.303639,"(47.618428, -122.303639)",F140037629
1348 Alaskan Way,Aid Response,04/15/2014,47.606387,-122.340855,"(47.606387, -122.340855)",F140037627
701 Pike St,Auto Fire Alarm,04/15/2014,47.611611,-122.333343,"(47.611611, -122.333343)",F140037625
N 46th St / Aurora Av N,Aid Response,04/15/2014,47.662115,-122.347213,"(47.662115, -122.347213)",F140037623
8005 Sand Point Way Ne,Aid Response,04/15/2014,47.686143,-122.264984,"(47.686143, -122.264984)",F140037622
4719 12th Av Ne,Rescue Elevator,04/15/2014,47.663215,-122.315262,"(47.663215, -122.315262)",F140037621
4560 33rd Av S,Aid Response,04/15/2014,47.56153,-122.290999,"(47.56153, -122.290999)",F140037618
10004 43rd Pl Ne,Aid Response Yellow,04/15/2014,47.70168,-122.282851,"(47.70168, -122.282851)",F140037615
6th Av N / Roy St,Aid Response,04/15/2014,47.625413,-122.344954,"(47.625413, -122.344954)",F140037613
10338 Aurora Av N,Aid Response,04/15/2014,47.703456,-122.344675,"(47.703456, -122.344675)",F140037611
2818 Ne 145th St,Mutual Aid- Engine,04/15/2014,47.733796,-122.297753,"(47.733796, -122.297753)",B140037610
725 E Denny Way,Aid Response,04/15/2014,47.618651,-122.323169,"(47.618651, -122.323169)",F140037607
18th Av S / S Jackson St,4RED - 2 + 1 + 1,04/15/2014,47.599239,-122.308968,"(47.599239, -122.308968)",F140037606
18th Av S / S Jackson St,4RED - 2 + 1 + 1,04/15/2014,47.599239,-122.308968,"(47.599239, -122.308968)",F140037606
1930 Boren Av,Trans to AMR,04/15/2014,47.617173,-122.333103,"(47.617173, -122.333103)",F140037604
6900 37th Av S,Medic Response,04/15/2014,47.540683,-122.286131,"(47.540683, -122.286131)",F140037602
1607 Palm Av Sw,Aid Response,04/15/2014,47.589199,-122.383732,"(47.589199, -122.383732)",F140037601
818 1st Av,Auto Fire Alarm,04/15/2014,47.603393,-122.335048,"(47.603393, -122.335048)",F140037600
818 Ne 106th St,Auto Fire Alarm,04/15/2014,47.705841,-122.319275,"(47.705841, -122.319275)",F140037599
1988 Shenandoah Dr E,Quick Dispatch Medic,04/15/2014,47.638071,-122.289951,"(47.638071, -122.289951)",F140037598
3402 39th Av Sw,Aid Response Yellow,04/15/2014,47.573138,-122.381393,"(47.573138, -122.381393)",F140037597
1431 Minor Av,Auto Fire Alarm,04/15/2014,47.613037,-122.326981,"(47.613037, -122.326981)",F140037596
11303 14th Av Ne,Aid Response,04/15/2014,47.710373,-122.313794,"(47.710373, -122.313794)",F140037595
7529 24th Av Sw,Water Job Major,04/15/2014,47.535251,-122.363167,"(47.535251, -122.363167)",F140037593
4158 37th Av Sw,Medic Response,04/15/2014,47.566136,-122.378767,"(47.566136, -122.378767)",F140037592
424 Minor Av N,Medic Response,04/15/2014,47.622242,-122.332995,"(47.622242, -122.332995)",F140037590
900 University St,Aid Response,04/15/2014,47.61055,-122.329318,"(47.61055, -122.329318)",F140037589
2762 4th Av S,Aid Response,04/15/2014,47.579157,-122.329057,"(47.579157, -122.329057)",F140037588
207 Pontius Av N,Aid Response,04/15/2014,47.619736,-122.331697,"(47.619736, -122.331697)",F140037587
3516 Sw Ocean View Dr,Medic Response,04/15/2014,47.502693,-122.376304,"(47.502693, -122.376304)",F140037586
1820 Boylston Av,Brush Fire,04/15/2014,47.617636,-122.323447,"(47.617636, -122.323447)",F140037584
